product_id,name,category,brand,description,price_inr,rating,num_reviews,in_stock,tags,specs,warranty_years,free_shipping,return_policy_days
1001,HP X Pro Laptop,Laptops,HP,Ultra-slim and lightweight laptop perfect for students and on-the-go productivity.,58020,3.2,1915,Yes,"workstation, gaming, business","{""RAM"": ""64GB"", ""Storage"": ""256GB SSD"", ""Processor"": ""Intel i5"", ""Display"": ""13.3 inch FHD"", ""Battery"": ""10 hrs""}",0,Yes,30
1002,Asus G10 Gaming Laptop,Laptops,Asus,Powerful laptop designed for professionals and power users with exceptional performance.,160200,3.3,802,Yes,"business, workstation, gaming","{""RAM"": ""16GB"", ""Storage"": ""1TB SSD"", ""Processor"": ""Intel i5"", ""Display"": ""13.3 inch FHD"", ""Battery"": ""15 hrs""}",2,No,15
1003,Dell Spark S10 Laptop,Laptops,Dell,Business laptop with enterprise-grade security and all-day battery life.,48000,3.6,663,Yes,"workstation, business, student","{""RAM"": ""16GB"", ""Storage"": ""256GB SSD"", ""Processor"": ""Intel i5"", ""Display"": ""14 inch FHD"", ""Battery"": ""12 hrs""}",1,Yes,30
1004,Acer Lite Pro Laptop,Laptops,Acer,High-performance gaming laptop with dedicated GPU for immersive gaming experience.,93620,4.3,4572,Yes,"gaming, ultrabook, business","{""RAM"": ""16GB"", ""Storage"": ""512GB SSD"", ""Processor"": ""AMD Ryzen 5"", ""Display"": ""16 inch 4K"", ""Battery"": ""12 hrs""}",1,No,7
1005,Asus 200 Gaming Laptop,Laptops,Asus,Business laptop with enterprise-grade security and all-day battery life.,79180,3.4,2179,Yes,"business, ultrabook, workstation","{""RAM"": ""64GB"", ""Storage"": ""2TB SSD"", ""Processor"": ""Apple M2"", ""Display"": ""16 inch 4K"", ""Battery"": ""10 hrs""}",1,Yes,15
1006,MSI Neo Slim Laptop,Laptops,MSI,High-performance gaming laptop with dedicated GPU for immersive gaming experience.,71190,5,4895,Yes,"student, gaming, workstation","{""RAM"": ""8GB"", ""Storage"": ""512GB SSD"", ""Processor"": ""Apple M2"", ""Display"": ""14 inch FHD"", ""Battery"": ""15 hrs""}",0,No,30
1007,Samsung Edge 5000 Laptop,Laptops,Samsung,Powerful laptop designed for professionals and power users with exceptional performance.,147480,4.1,4110,Yes,"business, gaming, ultrabook","{""RAM"": ""64GB"", ""Storage"": ""512GB SSD"", ""Processor"": ""AMD Ryzen 5"", ""Display"": ""13.3 inch FHD"", ""Battery"": ""12 hrs""}",1,Yes,15
1008,Asus Pro Pro Laptop,Laptops,Asus,Premium ultrabook with stunning display and top-tier processing power.,192330,4.8,484,No,"workstation, business, ultrabook","{""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Processor"": ""Intel i9"", ""Display"": ""15.6 inch FHD"", ""Battery"": ""10 hrs""}",1,Yes,7
1009,Samsung Flex Pro Laptop,Laptops,Samsung,Ultra-slim and lightweight laptop perfect for students and on-the-go productivity.,143860,4.9,4249,Yes,"business, student, gaming","{""RAM"": ""16GB"", ""Storage"": ""1TB SSD"", ""Processor"": ""AMD Ryzen 5"", ""Display"": ""15.6 inch FHD"", ""Battery"": ""15 hrs""}",3,Yes,10
1010,Asus Z B2 Laptop,Laptops,Asus,Premium ultrabook with stunning display and top-tier processing power.,126400,4.2,4221,Yes,"gaming, workstation, student","{""RAM"": ""8GB"", ""Storage"": ""256GB SSD"", ""Processor"": ""Apple M3"", ""Display"": ""15.6 inch FHD"", ""Battery"": ""8 hrs""}",1,No,30
